csv_path,stage_label,stage_num,mode,workload,run_folder,run_id,run_started_at,file_started_at,run_date,total_samples,successful_samples,error_rate,ts_first,ts_last,client_count,client_mean,client_p50,client_p95,client_p99,client_min,client_max,server_count,server_mean,server_p50,server_p95,server_p99,server_min,server_max
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S1_independent/2025-11-07_10-00-12_run-9216/latencies_ce_batch_2025-11-07_10-00-12.csv,S1,1,independent,ce_batch,2025-11-07_10-00-12_run-9216,9216,2025-11-07T10:00:12,2025-11-07T10:00:12,2025-11-07,500,500,0.0,2025-11-07T10:00:14+00:00,2025-11-07T10:03:31+00:00,500.0,18.765309999999996,18.192,22.456799999999987,29.006479999999993,15.396,32.791,500.0,12.43858,12.153500000000001,13.864249999999993,18.007329999999993,10.854,24.075
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S1_independent/2025-11-07_10-00-12_run-9216/latencies_ce_nobatch_2025-11-07_10-00-12.csv,S1,1,independent,ce_nobatch,2025-11-07_10-00-12_run-9216,9216,2025-11-07T10:00:12,2025-11-07T10:00:12,2025-11-07,500,500,0.0,2025-11-07T10:00:14+00:00,2025-11-07T10:03:29+00:00,500.0,13.336727999999999,12.628,18.048099999999998,23.795919999999995,10.063,30.77,500.0,7.014558000000001,6.7940000000000005,8.239449999999998,11.15863999999999,4.827,22.065
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S1_independent/2025-11-07_10-00-12_run-9216/latencies_cr_batch_2025-11-07_10-00-12.csv,S1,1,independent,cr_batch,2025-11-07_10-00-12_run-9216,9216,2025-11-07T10:00:12,2025-11-07T10:00:12,2025-11-07,500,500,0.0,2025-11-07T10:00:14+00:00,2025-11-07T10:04:21+00:00,500.0,182.154356,197.4915,251.18199999999996,278.83358,72.374,316.787,500.0,12.443653999999999,12.2965,13.490699999999999,16.460569999999993,11.219,20.883
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S1_independent/2025-11-07_10-00-12_run-9216/latencies_cr_nobatch_2025-11-07_10-00-12.csv,S1,1,independent,cr_nobatch,2025-11-07_10-00-12_run-9216,9216,2025-11-07T10:00:12,2025-11-07T10:00:12,2025-11-07,500,500,0.0,2025-11-07T10:00:14+00:00,2025-11-07T10:04:20+00:00,500.0,177.55243200000004,196.3125,247.11275,263.3237499999999,87.106,291.37,500.0,7.146540000000001,7.05,8.166099999999998,9.98782999999999,6.03,17.225
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S2_concurrent/2025-11-07_10-34-56_run-8168/latencies_ce_batch_2025-11-07_10-34-56.csv,S2,2,concurrent,ce_batch,2025-11-07_10-34-56_run-8168,8168,2025-11-07T10:34:56,2025-11-07T10:34:56,2025-11-07,500,500,0.0,2025-11-07T10:34:58+00:00,2025-11-07T10:40:49+00:00,500.0,18.791379999999997,18.029,23.856349999999996,29.045659999999998,14.745,35.379,500.0,12.280617999999999,12.1095,13.37495,16.081569999999985,9.732,30.472
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S2_concurrent/2025-11-07_10-34-56_run-8168/latencies_ce_nobatch_2025-11-07_10-34-56.csv,S2,2,concurrent,ce_nobatch,2025-11-07_10-34-56_run-8168,8168,2025-11-07T10:34:56,2025-11-07T10:34:56,2025-11-07,500,500,0.0,2025-11-07T10:34:58+00:00,2025-11-07T10:40:49+00:00,500.0,13.414130000000002,12.702,17.692899999999995,23.519149999999996,9.564,30.624,500.0,6.819896000000001,6.667,7.810749999999999,10.397349999999994,4.601,24.072
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S2_concurrent/2025-11-07_10-34-56_run-8168/latencies_cr_batch_2025-11-07_10-34-56.csv,S2,2,concurrent,cr_batch,2025-11-07_10-34-56_run-8168,8168,2025-11-07T10:34:56,2025-11-07T10:34:56,2025-11-07,500,500,0.0,2025-11-07T10:34:58+00:00,2025-11-07T10:40:49+00:00,500.0,215.777844,214.457,258.4971,276.30415,140.406,317.971,500.0,12.53242,12.304,13.645199999999999,20.674839999999996,11.35,29.919
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S2_concurrent/2025-11-07_10-34-56_run-8168/latencies_cr_nobatch_2025-11-07_10-34-56.csv,S2,2,concurrent,cr_nobatch,2025-11-07_10-34-56_run-8168,8168,2025-11-07T10:34:56,2025-11-07T10:34:56,2025-11-07,500,500,0.0,2025-11-07T10:34:58+00:00,2025-11-07T10:40:49+00:00,500.0,206.948908,204.5115,258.0671,276.74861,112.514,290.786,500.0,7.15092,6.987500000000001,8.1747,9.497429999999977,6.112,18.129
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S2_independent/2025-11-07_10-40-49_run-8777/latencies_ce_batch_2025-11-07_10-40-49.csv,S2,2,independent,ce_batch,2025-11-07_10-40-49_run-8777,8777,2025-11-07T10:40:49,2025-11-07T10:40:49,2025-11-07,500,500,0.0,2025-11-07T10:40:52+00:00,2025-11-07T10:44:09+00:00,500.0,18.35679,17.834,22.309549999999994,26.185959999999984,15.138,32.965,500.0,12.091668,11.9785,12.9399,16.02067,9.969,19.146
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S2_independent/2025-11-07_10-40-49_run-8777/latencies_ce_nobatch_2025-11-07_10-40-49.csv,S2,2,independent,ce_nobatch,2025-11-07_10-40-49_run-8777,8777,2025-11-07T10:40:49,2025-11-07T10:40:49,2025-11-07,500,500,0.0,2025-11-07T10:40:52+00:00,2025-11-07T10:44:09+00:00,500.0,13.113748,12.54,16.643699999999992,25.02698999999999,9.812,30.513,500.0,6.791186,6.675,7.603199999999999,8.259279999999995,4.836,20.93
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S2_independent/2025-11-07_10-40-49_run-8777/latencies_cr_batch_2025-11-07_10-40-49.csv,S2,2,independent,cr_batch,2025-11-07_10-40-49_run-8777,8777,2025-11-07T10:40:49,2025-11-07T10:40:49,2025-11-07,500,500,0.0,2025-11-07T10:40:52+00:00,2025-11-07T10:44:59+00:00,500.0,183.333676,202.52,258.13615,282.17699999999996,73.152,306.959,500.0,12.365810000000002,12.256,13.260449999999999,13.89711,11.433,18.592
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S2_independent/2025-11-07_10-40-49_run-8777/latencies_cr_nobatch_2025-11-07_10-40-49.csv,S2,2,independent,cr_nobatch,2025-11-07_10-40-49_run-8777,8777,2025-11-07T10:40:49,2025-11-07T10:40:49,2025-11-07,500,500,0.0,2025-11-07T10:40:52+00:00,2025-11-07T10:44:58+00:00,500.0,177.15119799999997,193.716,244.74259999999998,270.1095899999999,77.146,298.731,500.0,7.056185999999999,6.984500000000001,7.770499999999999,8.626279999999998,6.216,11.103
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S3_concurrent/2025-11-08_15-30-12_run-1808/latencies_ce_batch_2025-11-08_15-30-12.csv,S3,3,concurrent,ce_batch,2025-11-08_15-30-12_run-1808,1808,2025-11-08T15:30:12,2025-11-08T15:30:12,2025-11-08,500,500,0.0,2025-11-08T15:30:14+00:00,2025-11-08T15:34:18+00:00,500.0,20.955298000000003,19.796,27.133249999999993,32.042539999999995,16.33,44.917,500.0,12.134928,12.022,13.1342,14.06719,10.956,25.057
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S3_concurrent/2025-11-08_15-30-12_run-1808/latencies_ce_nobatch_2025-11-08_15-30-12.csv,S3,3,concurrent,ce_nobatch,2025-11-08_15-30-12_run-1808,1808,2025-11-08T15:30:12,2025-11-08T15:30:12,2025-11-08,500,500,0.0,2025-11-08T15:30:14+00:00,2025-11-08T15:34:18+00:00,500.0,17.55073,16.04,26.3113,32.37047,11.446,38.751,500.0,6.687744,6.614,7.524099999999998,8.166199999999998,5.656,10.577
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S3_concurrent/2025-11-08_15-30-12_run-1808/latencies_cr_batch_2025-11-08_15-30-12.csv,S3,3,concurrent,cr_batch,2025-11-08_15-30-12_run-1808,1808,2025-11-08T15:30:12,2025-11-08T15:30:12,2025-11-08,500,500,0.0,2025-11-08T15:30:14+00:00,2025-11-08T15:34:18+00:00,500.0,104.09576000000001,102.828,125.87594999999999,139.53501,75.656,161.5,500.0,12.777216000000001,12.597999999999999,13.856449999999999,19.08957,11.532,26.767
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S3_concurrent/2025-11-08_15-30-12_run-1808/latencies_cr_nobatch_2025-11-08_15-30-12.csv,S3,3,concurrent,cr_nobatch,2025-11-08_15-30-12_run-1808,1808,2025-11-08T15:30:12,2025-11-08T15:30:12,2025-11-08,500,500,0.0,2025-11-08T15:30:14+00:00,2025-11-08T15:34:18+00:00,500.0,100.43101000000001,98.3155,123.33844999999994,147.20481999999998,71.414,161.024,500.0,7.394902,7.153499999999999,8.4325,15.129059999999999,6.217,17.907
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S3_independent/2025-11-08_15-34-19_run-6223/latencies_ce_batch_2025-11-08_15-34-19.csv,S3,3,independent,ce_batch,2025-11-08_15-34-19_run-6223,6223,2025-11-08T15:34:19,2025-11-08T15:34:19,2025-11-08,500,500,0.0,2025-11-08T15:34:20+00:00,2025-11-08T15:36:19+00:00,500.0,19.815078,19.0505,24.9291,28.52805,16.003,30.612,500.0,11.861822,11.763,12.86495,13.733829999999998,10.873,15.223
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S3_independent/2025-11-08_15-34-19_run-6223/latencies_ce_nobatch_2025-11-08_15-34-19.csv,S3,3,independent,ce_nobatch,2025-11-08_15-34-19_run-6223,6223,2025-11-08T15:34:19,2025-11-08T15:34:19,2025-11-08,500,500,0.0,2025-11-08T15:34:20+00:00,2025-11-08T15:36:16+00:00,500.0,14.677406000000001,13.7035,21.456499999999995,25.997499999999995,11.112,32.818,500.0,6.618682000000001,6.5235,7.48205,8.573069999999998,5.67,12.005
