run_date,stage_num,stage_label,mode,workload,client_mean_mean,client_mean_std,client_p50_mean,client_p50_std,client_p95_mean,client_p95_std,client_p99_mean,client_p99_std,server_mean_mean,server_mean_std,server_p50_mean,server_p50_std,server_p95_mean,server_p95_std,server_p99_mean,server_p99_std,successful_samples_mean,error_rate_mean,client_mean_mean_delta_prev,client_mean_mean_delta_from_s0,client_mean_std_delta_prev,client_mean_std_delta_from_s0,client_p50_mean_delta_prev,client_p50_mean_delta_from_s0,client_p50_std_delta_prev,client_p50_std_delta_from_s0,client_p95_mean_delta_prev,client_p95_mean_delta_from_s0,client_p95_std_delta_prev,client_p95_std_delta_from_s0,client_p99_mean_delta_prev,client_p99_mean_delta_from_s0,client_p99_std_delta_prev,client_p99_std_delta_from_s0,server_mean_mean_delta_prev,server_mean_mean_delta_from_s0,server_mean_std_delta_prev,server_mean_std_delta_from_s0,server_p50_mean_delta_prev,server_p50_mean_delta_from_s0,server_p50_std_delta_prev,server_p50_std_delta_from_s0,server_p95_mean_delta_prev,server_p95_mean_delta_from_s0,server_p95_std_delta_prev,server_p95_std_delta_from_s0,server_p99_mean_delta_prev,server_p99_mean_delta_from_s0,server_p99_std_delta_prev,server_p99_std_delta_from_s0
2025-11-07,2,S2,concurrent,cr_batch,215.777844,,214.457,,258.4971,,276.30415,,12.53242,,12.304,,13.645199999999999,,20.674839999999996,,500.0,0.0,3.208699999999965,3.208699999999965,,,2.9814999999999827,2.9814999999999827,,,-0.09514999999998963,-0.09514999999998963,,,9.088070000000016,9.088070000000016,,,0.0756400000000017,0.0756400000000017,,,0.023000000000001464,0.023000000000001464,,,0.3826999999999998,0.3826999999999998,,,-0.14157000000000508,-0.14157000000000508,,
2025-11-07,1,S1,concurrent,cr_nobatch,207.263936,,206.3455,,250.01334999999997,,270.01495,,7.194016,,6.922499999999999,,8.131549999999999,,16.008809999999997,,500.0,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,
2025-11-07,2,S2,concurrent,cr_nobatch,206.948908,,204.5115,,258.0671,,276.74861,,7.15092,,6.987500000000001,,8.1747,,9.497429999999977,,500.0,0.0,-0.3150280000000123,-0.3150280000000123,,,-1.8339999999999748,-1.8339999999999748,,,8.053750000000008,8.053750000000008,,,6.733659999999986,6.733659999999986,,,-0.043096000000000245,-0.043096000000000245,,,0.06500000000000128,0.06500000000000128,,,0.04315000000000069,0.04315000000000069,,,-6.51138000000002,-6.51138000000002,,
2025-11-07,1,S1,independent,ce_batch,18.765309999999996,,18.192,,22.456799999999987,,29.006479999999993,,12.43858,,12.153500000000001,,13.864249999999993,,18.007329999999993,,500.0,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,
2025-11-07,2,S2,independent,ce_batch,18.35679,,17.834,,22.309549999999994,,26.185959999999984,,12.091668,,11.9785,,12.9399,,16.02067,,500.0,0.0,-0.4085199999999958,-0.4085199999999958,,,-0.35800000000000054,-0.35800000000000054,,,-0.14724999999999255,-0.14724999999999255,,,-2.820520000000009,-2.820520000000009,,,-0.34691199999999967,-0.34691199999999967,,,-0.1750000000000007,-0.1750000000000007,,,-0.9243499999999933,-0.9243499999999933,,,-1.9866599999999934,-1.9866599999999934,,
2025-11-07,1,S1,independent,ce_nobatch,13.336727999999999,,12.628,,18.048099999999998,,23.795919999999995,,7.014558000000001,,6.7940000000000005,,8.239449999999998,,11.15863999999999,,500.0,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,
2025-11-07,2,S2,independent,ce_nobatch,13.113748,,12.54,,16.643699999999992,,25.02698999999999,,6.791186,,6.675,,7.603199999999999,,8.259279999999995,,500.0,0.0,-0.22297999999999973,-0.22297999999999973,,,-0.08800000000000097,-0.08800000000000097,,,-1.404400000000006,-1.404400000000006,,,1.2310699999999954,1.2310699999999954,,,-0.22337200000000124,-0.22337200000000124,,,-0.11900000000000066,-0.11900000000000066,,,-0.6362499999999986,-0.6362499999999986,,,-2.8993599999999944,-2.8993599999999944,,
2025-11-07,1,S1,independent,cr_batch,182.154356,,197.4915,,251.18199999999996,,278.83358,,12.443653999999999,,12.2965,,13.490699999999999,,16.460569999999993,,500.0,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,
2025-11-07,2,S2,independent,cr_batch,183.333676,,202.52,,258.13615,,282.17699999999996,,12.365810000000002,,12.256,,13.260449999999999,,13.89711,,500.0,0.0,1.17931999999999,1.17931999999999,,,5.028500000000008,5.028500000000008,,,6.954150000000027,6.954150000000027,,,3.3434199999999805,3.3434199999999805,,,-0.07784399999999714,-0.07784399999999714,,,-0.04049999999999976,-0.04049999999999976,,,-0.23024999999999984,-0.23024999999999984,,,-2.563459999999994,-2.563459999999994,,
2025-11-07,1,S1,independent,cr_nobatch,177.55243200000004,,196.3125,,247.11275,,263.3237499999999,,7.146540000000001,,7.05,,8.166099999999998,,9.98782999999999,,500.0,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,
2025-11-07,2,S2,independent,cr_nobatch,177.15119799999997,,193.716,,244.74259999999998,,270.1095899999999,,7.056185999999999,,6.984500000000001,,7.770499999999999,,8.626279999999998,,500.0,0.0,-0.40123400000007337,-0.40123400000007337,,,-2.596499999999992,-2.596499999999992,,,-2.3701500000000237,-2.3701500000000237,,,6.785840000000007,6.785840000000007,,,-0.09035400000000138,-0.09035400000000138,,,-0.06549999999999923,-0.06549999999999923,,,-0.39559999999999906,-0.39559999999999906,,,-1.3615499999999923,-1.3615499999999923,,
2025-11-08,3,S3,concurrent,ce_batch,20.955298000000003,,19.796,,27.133249999999993,,32.042539999999995,,12.134928,,12.022,,13.1342,,14.06719,,500.0,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,
2025-11-08,3,S3,concurrent,ce_nobatch,17.55073,,16.04,,26.3113,,32.37047,,6.687744,,6.614,,7.524099999999998,,8.166199999999998,,500.0,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,
2025-11-08,3,S3,concurrent,cr_batch,104.09576000000001,,102.828,,125.87594999999999,,139.53501,,12.777216000000001,,12.597999999999999,,13.856449999999999,,19.08957,,500.0,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,
2025-11-08,3,S3,concurrent,cr_nobatch,100.43101000000001,,98.3155,,123.33844999999994,,147.20481999999998,,7.394902,,7.153499999999999,,8.4325,,15.129059999999999,,500.0,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,
2025-11-08,3,S3,independent,ce_batch,19.815078,,19.0505,,24.9291,,28.52805,,11.861822,,11.763,,12.86495,,13.733829999999998,,500.0,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,
2025-11-08,3,S3,independent,ce_nobatch,14.677406000000001,,13.7035,,21.456499999999995,,25.997499999999995,,6.618682000000001,,6.5235,,7.48205,,8.573069999999998,,500.0,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,
2025-11-08,3,S3,independent,cr_batch,99.29019,,103.69749999999999,,132.78184999999993,,147.61328,,12.908296,,12.631,,14.514399999999998,,20.26017,,500.0,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,
2025-11-08,3,S3,independent,cr_nobatch,94.26791200000001,,97.001,,126.35555,,139.1396,,7.440568000000001,,7.2219999999999995,,8.55405,,11.890729999999994,,500.0,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,
2025-11-09,3,S3,concurrent,ce_batch,19.21689,,18.2265,,24.95335,,29.717669999999995,,11.610774,,11.489,,12.64195,,13.528569999999995,,500.0,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,
2025-11-09,4,S4,concurrent,ce_batch,23.507246,,21.8015,,34.91954999999999,,45.24325999999999,,13.884975999999998,,12.756499999999999,,19.7349,,26.636009999999978,,500.0,0.0,4.290355999999999,4.290355999999999,,,3.5749999999999993,3.5749999999999993,,,9.966199999999986,9.966199999999986,,,15.525589999999998,15.525589999999998,,,2.274201999999999,2.274201999999999,,,1.2674999999999983,1.2674999999999983,,,7.09295,7.09295,,,13.107439999999983,13.107439999999983,,
